brain_region,gene_id,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256,effect_size_512,p-value_512,power_512,t_stat_512,effect_size_1024,p-value_1024,power_1024,t_stat_1024
4024,2881,-0.4957419366903982,0.445,0.001719758710968744,-1.5823426357026722,-0.28271863942035935,0.483,0.0031965131566209504,-1.091539497030691,-0.10404265068470805,0.509,0.01318336090428851,-0.6403614323235325,-0.13290647343387285,0.532,0.0035004594582354054,-1.1114129693864554,-0.1381019449473239,0.543,0.0006894630970359916,-1.4785164098644394,-0.07952979238536337,0.529,0.0017843561039478928,-1.2588078626245711,-0.08332246190628984,0.486,0.00020956612986577916,-1.9075096026954346,-0.04254324831107663,0.534,0.0013264289626221393,-1.476574128854962
4024,3335,0.5622119172464326,0.623,0.41714957746636183,7.464210555471526,0.2063676680711744,0.504,0.1959135739032063,1.335803993655778,0.26971430157619,0.486,0.43939550729020027,1.7956289307488515,0.2292079513498847,0.51,0.5671280620527862,2.0987158749157127,0.1931653930581222,0.517,0.7015620140790785,2.493628251051288,0.13861362109167963,0.513,0.7146683221921196,2.5460035004907926,0.16881895136963723,0.487,0.9849973095193252,4.144590482258593,0.23639895713335243,0.498,0.9999999999999806,8.14478064073945
4024,3338,-0.939403359460631,0.391,2.225169172942465e-05,-9.97850744859805,-0.4814696153025941,0.476,0.00024258350861239286,-3.464642444016036,-0.21322786914247888,0.479,0.002361899829258607,-1.7065055309261041,-0.3738214117208653,0.472,2.0725827829526366e-06,-4.542492954728491,-0.3200654521535229,0.48,7.685062475282223e-08,-5.235447364298027,-0.3108351280313318,0.49,0.0,-7.415554443874428,-0.3214723845473998,0.494,1.744160371686121e-13,-10.502796650028417,-0.34730802000921085,0.512,0.0,-15.51119475458382
4024,4103,0.14982200954660194,0.523,0.10373935103422549,0.7089151399990696,-0.39216887299978415,0.471,0.0008265809834219207,-1.9053651081839844,-0.05443910341500076,0.501,0.02581672176388239,-0.32223643089104853,-0.0038724972711672535,0.529,0.04691781802523087,-0.03221098216432792,0.004577406755271328,0.528,0.05554181902218158,0.05254710499905746,-0.008779635043979115,0.497,0.037134251578684885,-0.1431778013231601,-0.04018789709486238,0.51,0.005339980931777455,-0.9051869429084987,-0.025738920849866297,0.502,0.006794373719606561,-0.859029035219187
4024,4855,-0.21060931433662655,0.529,0.01436253226840234,-0.787519033518591,0.09704226610977487,0.543,0.10134722889422632,0.5008439098608833,0.24921262460731922,0.517,0.39515490806537223,1.7945508329606599,0.19032543012116335,0.539,0.4448744550520034,1.841522632519303,0.2682316292096407,0.493,0.9152190843085855,3.6737111908368836,0.2746754118248602,0.496,0.9969116848979377,5.307016818326839,0.2067127975404493,0.506,0.9987622353117244,5.462363085267655,0.20951218399328247,0.482,0.9999999999898875,7.9406996636554865
4024,36362,0.17182333107309397,0.535,0.11425669411042172,0.8842545610856642,0.06388389545869064,0.538,0.08066204905824459,0.5209455733608972,0.05054193803160646,0.524,0.08610557230276616,0.43260907962309436,-0.024524836748245068,0.487,0.032960655174952946,-0.31270286621002424,-0.11454215736650358,0.514,0.0016737415805799793,-1.980672846066751,-0.14651458016394298,0.502,3.404053546329777e-05,-3.702208274618857,-0.10751005403665452,0.521,2.3074891377206086e-05,-3.5985520415488588,-0.10898238642028103,0.515,1.4441744455861993e-07,-5.382305566428385
4030,1259,0.3009119763875524,0.535,0.19099590782478448,2.472379877924501,-0.18270900330220818,0.498,0.009541442357900554,-1.0068099483261277,-0.23923892334862734,0.484,0.0014922749805208468,-1.7990643575467917,0.0969663997369152,0.524,0.19012478599967098,0.8805310835443189,-0.0363157138216075,0.486,0.020010204219337968,-0.5001242502208819,0.13207459671964958,0.503,0.6782206487099581,2.609532898732509,0.11433378771009499,0.504,0.826082670374977,3.042569803719032,0.03656703211527807,0.49,0.3172216303605222,1.3764375398359212
4030,2538,-0.38933173932355614,0.478,0.004031304632150623,-1.9825770181453564,0.0187756325731852,0.484,0.05785182734472116,0.08710629464142931,0.07008272178306751,0.513,0.1043777601120579,0.43692766500428976,0.028663350792390553,0.501,0.07809557800010036,0.2464495260368731,0.04401750882817656,0.486,0.12517475175825377,0.5278976914097929,0.013437881506341743,0.477,0.07629864986869062,0.22583286744821524,0.008373727849325628,0.497,0.07274767721099884,0.19867184644041416,-0.0012896593872524943,0.504,0.04588870814306556,-0.043164585483812974
4030,2541,0.6751849567315809,0.524,0.5307508002265433,2.3900635581190133,0.22843877311217733,0.554,0.22004597473405063,0.8614612891976992,0.07289137684661896,0.505,0.10721939084848453,0.4003040437739446,0.03497564841982842,0.488,0.08564963957572702,0.3099308551417864,0.22412687944008405,0.526,0.8098402234287739,2.8602138007369993,0.21268876300228845,0.508,0.9598647018993137,3.8237819596157956,0.24584843231928893,0.506,0.999999986734743,6.2262975106998955,0.1708013145282164,0.49,0.9999324878583281,6.073162605993158
4030,3338,-0.8715522464260201,0.389,4.7091812251820464e-05,-8.516733293130889,-0.36692866479187586,0.491,0.001145714384765073,-2.4876004627942807,-0.10028303429053842,0.495,0.013905071162148785,-0.8047978449893225,-0.2967733691925098,0.464,3.2491483360819196e-05,-3.5892694350184513,-0.19114086566979582,0.471,7.354509657453434e-05,-3.174623017535698,-0.24346246670716218,0.495,1.538037830428607e-08,-5.488801011332716,-0.31000450694992593,0.485,1.1530776333756876e-12,-9.621177252881353,-0.3196062175391069,0.509,0.0,-13.786220718244575
