brain_region,gene_id,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256,effect_size_512,p-value_512,power_512,t_stat_512,effect_size_1024,p-value_1024,power_1024,t_stat_1024
4024,1259,0.7733108413521826,0.0546875,0.6275229274611143,30.0,-0.25396663682490905,0.7017059326171875,0.004438248024009606,58.0,-0.4064080673336142,0.9614759690593928,4.905515397601867e-05,170.0,0.06102678980362512,0.2371306125247955,0.12264507969919913,1147.0,0.023625669139102738,0.18624840917671331,0.08395037781229397,4503.0,0.2019812130612778,3.4188232300941055e-05,0.9427464253976562,21170.0,0.2208076369077514,1.1558480518281824e-08,0.9995883170264007,84376.0,0.1980237357500785,5.4347284648212017e-14,0.9999999998826761,332733.0
4024,2538,-0.6347265277900835,0.92578125,0.0005065033142661601,8.0,0.08542484659790013,0.6090240478515625,0.09370045942867744,63.0,0.0775541182191666,0.7133488457184285,0.11205925815658291,234.0,0.03994617731050328,0.7481726667003838,0.09197306804585326,940.0,0.029407874625387857,0.8143884521869338,0.09443818984867247,3752.0,-0.007758050358312094,0.9425898404017043,0.038475847277607,14578.0,0.013453018489795443,0.9523249571912363,0.0899846906658689,60078.0,0.017581327889938648,0.9814457754990217,0.13948788437238013,242667.0
4024,2539,0.3667700413919242,0.3203125,0.24001525376918043,22.0,-0.026746212817383874,0.5500335693359375,0.04030716427748737,66.0,-0.01361312494268105,0.5549986348487437,0.042698073456118535,257.0,-0.05702213835529788,0.7219017719029139,0.018033661688259484,952.0,-0.14093549802815353,0.9556930646792121,0.0006169731595440098,3412.0,-0.1022277880329657,0.9577637971889825,0.000526120950179565,14402.0,-0.09145328795681201,0.9627616236213616,0.00010302876322210164,59690.0,-0.04973292924457894,0.8500462645508476,0.0006076687356056931,252587.0
4024,2541,1.1161585069389872,0.01953125,0.8826212238189295,33.0,0.3702373786565288,0.071929931640625,0.40868507007645605,97.0,0.13540599459640937,0.22145906393416226,0.1852518868932358,306.0,0.12860916647222487,0.0938458538252751,0.265323184848139,1237.0,0.3310799826822389,5.512019809988841e-05,0.981275184985942,5754.0,0.26353436549123044,2.6053317779981058e-06,0.9947735252417788,21851.0,0.2454382430099489,2.4281321011178906e-09,0.9999999860104078,85264.0,0.2710016700093762,1.2950608992421455e-19,1.0,347453.0
4024,2881,-0.5594426039329772,0.90234375,0.0009974749339169975,9.0,-0.27288487425767277,0.8738861083984375,0.0035807478833916884,46.0,-0.11320097780157505,0.6744258501566947,0.011559320612782975,240.0,-0.13892662117330692,0.81845703979687,0.003030599688314317,904.0,-0.13068362243884174,0.8775680621355368,0.0009180410704642261,3639.0,-0.0786754914140357,0.8160993407688791,0.0018638430436352937,15380.0,-0.08430081095277493,0.915191302434757,0.00019273081216208965,61064.0,-0.046142941526717565,0.7939427561686908,0.0009028680601824712,254636.0
4024,3335,2.6389969499890613,0.00390625,0.9999999999999581,36.0,0.3339509984139445,0.07952880859375,0.35593342343926015,96.0,0.3174253483568156,0.049193958984687924,0.544348381639514,353.0,0.2623394843644641,0.03548836823495213,0.6668529627641245,1310.0,0.22040768075958952,0.016260035687793224,0.798269412759206,5027.0,0.15912521878067454,0.02622063290904976,0.8144424268589956,18748.0,0.18316675220289214,0.00043565835799726617,0.9936886705350961,76814.0,0.2545243950231078,6.822282027075968e-13,0.9999999999999998,329493.0
4024,3338,-3.5279351415120774,1.0,0.0,0.0,-0.866160611004009,0.996185302734375,3.407980204706007e-07,19.0,-0.30167040826254937,0.973959127208218,0.0004580979460496737,161.0,-0.5678116193410614,0.9999881908691752,0.0,408.0,-0.4627525417300465,0.999999982868407,0.0,1808.0,-0.46347215274215176,0.9999999999999993,6.050715484207103e-14,6968.0,-0.46416242079115294,1.0,0.0,28393.0,-0.48472483608074435,1.0,0.0,110883.0
4024,4103,0.2506393513895764,0.23046875,0.1580214189177056,24.0,-0.4763412770459961,0.9416656494140625,0.0002610607098807449,38.0,-0.05696389135710267,0.5911628506146371,0.02498895229813225,252.0,-0.00402637277054099,0.4600480889950279,0.04679856642319169,1055.0,0.004644551784569382,0.391325730963078,0.055626580162180916,4244.0,-0.008948612582697506,0.4440044646713054,0.03691607082794901,16615.0,-0.040003989098257475,0.7070871692923604,0.0054040358151612455,63839.0,-0.026844657350599595,0.7181366845134521,0.0061517992070941885,256935.0
4024,4855,-0.2784300244572358,0.47265625,0.009077921379962994,19.0,0.12521097746522084,0.1372222900390625,0.1217499093213451,90.0,0.31723476579261245,0.017909439746290445,0.543930439061868,376.0,0.23019032906491288,0.00521384856190501,0.5701832856642799,1423.0,0.3247132618952084,1.6806760483237386e-05,0.9777412805836856,5872.0,0.33168855114542745,5.715146148886773e-09,0.9998678573379146,23217.0,0.24140462368098936,2.162634761667599e-11,0.9999305741669007,87744.0,0.24814686448923395,9.906276053726731e-21,0.999999999999999,350089.0
4024,36362,0.31263119821940366,0.23046875,0.19924444639922378,24.0,0.1302363933402243,0.247711181640625,0.1256733995489958,82.0,0.07647520345109027,0.2803786783479154,0.11092570693575488,296.0,-0.03908785827625303,0.5133371565261237,0.025337553987113126,1035.0,-0.1750684000957323,0.9282064598009656,0.00015014531992951774,3513.0,-0.23138801716367857,0.9980676656119807,4.5972396889304434e-08,13022.0,-0.1590350344394933,0.9912147870037201,8.049419342182063e-08,57711.0,-0.16819704895088702,0.9999477719893994,0.0,225671.0
