brain_region,gene_id,effect_size,p-value,power,t_stat
4244,3338,0.038486742713317305,0.516,0.07609351724021318,0.2879357906954616
4245,1259,-0.18755484032934727,0.465,0.0036467986012657105,-1.240476887481678
4245,2541,0.11570479585477281,0.502,0.15755902687691492,0.6340771618432184
4251,1259,0.050015061242044426,0.469,0.08564834791000053,0.31246556604258385
4251,2538,-0.12585503328175657,0.506,0.00960260759875553,-0.7907189741234364
4251,2541,0.04293569469118784,0.505,0.07967997101793145,0.24363625237588474
4251,3338,0.6587193808558733,0.533,0.9771597859815208,5.020063139406251
4254,1259,-0.1627082022641313,0.471,0.005455121226800919,-1.012748860795204
4254,2538,-0.05972855807068107,0.503,0.024108172397901306,-0.4045619494780585
4254,2541,-0.3465358067585103,0.476,0.00018292487728399642,-2.172680206709995
4254,3338,-0.09112239333583008,0.517,0.0158076150678208,-0.8752928332108018
4255,1259,0.616019242351509,0.493,0.9609934198110683,3.8155388821347005
4255,2541,-0.2727944056266079,0.495,0.0008020782925390879,-1.5127483296877513
4256,1259,0.27747193228248623,0.482,0.45636667565584743,1.4322646175521847
4256,2538,-0.07911726120153348,0.492,0.018635444857820205,-0.44716583512925007
4256,2541,-0.15438065166512427,0.492,0.006219245991739397,-0.7232613583506753
4257,1259,-0.03319795709300288,0.465,0.03372962589556183,-0.1477109951777937
4257,2541,-0.17588777890733717,0.492,0.004415435322051908,-0.7841451197700645
4258,1259,-0.9482586531585079,0.461,0.0,-6.336047492244608
4258,2538,0.17649570837467118,0.508,0.25200683254065837,0.9594681149666673
4258,2541,0.05841131406055273,0.493,0.09315340455411292,0.24999527439218489
4270,1259,0.0949763706578847,0.488,0.13151882256921443,0.747580794161217
4270,2541,0.1118819161162185,0.503,0.1525179183900245,0.6375243958674607
4273,1259,0.10823360822917458,0.494,0.14780787150127261,0.786760897141787
4273,2541,0.15152212080375027,0.509,0.21001766793161225,0.8324787457695856
4280,1259,0.267966221208186,0.483,0.4355854346519673,1.9683091328387392
4280,2538,-0.09037098250965907,0.507,0.015973137449900143,-0.651422754319531
4280,2541,0.3581890016487459,0.505,0.6318822479202011,1.9885894425282813
4281,1259,0.2986015916628503,0.489,0.5029047479423905,1.9110571688989648
4281,2541,0.38497329600494395,0.519,0.6861494505079571,2.0473008117194085
4282,1259,0.47698607989424546,0.495,0.8398270689280704,3.153370174519195
4282,2538,-0.07818327200727906,0.521,0.018872461743798308,-0.5433904081611308
